Laptops Serial Number;Belongs to a Computer Producers Brand;Uninterrupted Operating Time (hours)
157;1796070;0;110
158;1764422;1;207
159;1913342;0;235
160;1317344;1;227
161;1747380;0;265
162;1738977;1;99
163;1182677;0;191
164;1826458;1;159
165;1736704;0;91
166;1229002;1;247
167;1338216;0;151
168;1183143;0;222
169;1372020;1;169
170;1840572;1;216
171;1616238;1;207
172;1611869;0;127
173;1619030;1;105
174;1478388;0;250
175;1652916;1;228
176;1992658;0;134
177;1653639;1;98
178;1591597;0;187
179;1532745;1;144
180;1912420;0;218
181;1038044;1;203
182;1417762;1;181
183;1082273;0;173
184;1970520;1;235
185;1454598;1;208
186;1317708;0;205
187;1064302;0;248
188;1229516;0;252
189;1040308;1;208
190;1128121;0;125
191;1527409;0;177
192;1972797;0;97
193;1216487;1;219
194;1899052;1;133
195;1052368;0;229
196;1218610;0;91
197;1220963;0;187
198;1265939;1;94
199;1673662;0;185
200;1939803;0;120
201;1174841;0;224
202;1680871;0;214
203;1824786;1;224
204;1486755;0;87
205;1500570;0;220
206;1937780;0;258
207;1166637;1;206
208;1655610;1;183
209;1359879;1;239
210;1131706;0;173
211;1614807;1;85
212;1444470;1;181
213;1614638;0;97
214;1767752;1;166
215;1134085;0;154
216;1238497;0;187
217;1698598;1;215
218;1402503;1;256
219;1995600;1;93
220;1348111;1;112
221;1489711;1;89
222;1409027;1;272
223;1761401;1;175
224;1761890;0;135
225;1693646;1;191
226;1020604;0;227
227;1562781;1;252
228;1393416;1;210
229;1619615;0;199
230;1518143;0;157
231;1423029;0;226
232;1426435;0;241
233;1755406;1;219
234;1905323;1;252
235;1125210;0;259
236;1872795;0;92
237;1085237;0;138
238;1102057;1;261
239;1295449;1;171
240;1654484;0;232
241;1096970;1;249
242;1668140;1;153
243;1922324;0;204
244;1296444;0;278
245;1750801;1;233
246;1370197;0;236
247;1720218;1;119
248;1352831;0;131
249;1272694;0;153
250;1521985;0;250
251;1110850;1;281
252;1568078;1;125
253;1389432;0;88
254;1956393;1;228
255;1706221;0;268
256;1641514;1;197
257;1718877;1;197
258;1425709;0;163
259;1224577;1;136
260;1656271;1;166
261;1242116;1;102
262;1757237;0;270
263;1737127;0;190
264;1084499;1;91
265;1944111;0;91
266;1387881;1;212
267;1101951;0;276
268;1619448;1;139
269;1261001;1;108
270;1647834;1;161
271;1116573;1;185
272;1097651;0;265
273;1841653;1;169
274;1331818;0;243
275;1881244;1;215
276;1564116;1;192
277;1162917;0;91
278;1847213;1;147
279;1369069;0;125
280;1742030;0;221
281;1598348;0;157
282;1914631;0;258
283;1720063;0;218
284;1431358;0;249
285;1595054;1;92
286;1340458;1;136
287;1639628;0;238
288;1720635;0;205
289;1903097;1;229
290;1729188;1;152
291;1731359;1;215
292;1719614;0;218
293;1902115;1;233
294;1907983;1;248
295;1031850;0;191
296;1384088;1;162
297;1046093;1;180
298;1198504;1;283
299;1056980;0;247
300;1206964;0;255
301;1303928;0;166
302;1314344;0;108
303;1620597;1;269
304;1189755;1;272
305;1721490;0;232
306;1372175;0;157
307;1713900;1;150
308;1176096;0;270
309;1429585;0;234
310;1760922;0;201
311;1592218;1;119
312;1909615;0;141
313;1785785;1;193
314;1475734;1;107
315;1726333;1;252
316;1003078;1;112
317;1971346;0;212
318;1321681;0;179
319;1248200;1;140
320;1056426;1;216
321;1144081;0;196
322;1665320;1;265
323;1708151;1;214
324;1094307;0;244
325;1386198;0;152
326;1876689;1;87
327;1206819;0;132
328;1462806;1;224
329;1391771;1;269
330;1555094;1;92
331;1343678;0;156
332;1451787;1;171
333;1808574;1;273
334;1037697;0;98
335;1803371;0;285
336;1225767;0;180
337;1007114;0;100
338;1085731;0;166
339;1631905;0;144
340;1285640;0;237
341;1734620;0;132
342;1863331;1;210
343;1529275;0;259
344;1964425;1;168
345;1814486;0;243
346;1189954;1;90
347;1946888;0;106
348;1483738;1;170
349;1540589;0;121
350;1200910;0;115
351;1488004;0;190
352;1661283;0;165
353;1588852;1;257
354;1370278;1;131
355;1064792;1;139
356;1867332;1;90
357;1552055;0;222
358;1710405;1;218
359;1495547;0;122
360;1918320;1;106
361;1243888;1;113
362;1107560;1;147
363;1064007;0;190
364;1999184;0;164
365;1810177;0;175
366;1607111;1;223
367;1148991;1;237
368;1638848;0;124
369;1905222;1;241
370;1751843;1;113
371;1260424;0;209
372;1505411;1;164
373;1638460;0;239
374;1347815;0;270
375;1793338;0;109
376;1107872;0;197
377;1511151;1;120
378;1068693;0;100
379;1888973;1;149
380;1841296;0;99
381;1076053;1;143
382;1121393;0;156
383;1694206;1;259
384;1763637;1;126
385;1023757;0;197
386;1258753;1;256
387;1970955;0;216
388;1490141;1;131
389;1886744;0;190
390;1017986;1;258
391;1544829;1;176
392;1196275;0;105
393;1087091;0;91
394;1537111;1;195
395;1842707;1;157
396;1709140;0;239
397;1197533;0;185
398;1434637;0;130
399;1293261;1;88
400;1503670;0;118
401;1228315;0;277
402;1227705;0;173
403;1375980;1;281
404;1253261;0;226
405;1892163;1;237
406;1658158;1;138
407;1286947;1;272
408;1368595;0;207
409;1338256;1;139
410;1847439;0;142
411;1237475;0;167
412;1518032;1;146
413;1308741;1;256
414;1839802;0;165
415;1481764;0;195
416;1427062;0;204
417;1034776;0;251
418;1561243;0;158
419;1424110;1;259
420;1830573;0;285
421;1278962;0;256
422;1949284;0;126
423;1624280;1;218
424;1880473;0;217
425;1108059;0;272
426;1123391;0;227
427;1326640;1;125
428;1487532;0;150
429;1690476;0;281
430;1651484;0;215
431;1485854;0;150
432;1397341;0;268
433;1760480;1;152
434;1018670;1;221
435;1287225;0;161
436;1631809;0;131
437;1819273;0;239
438;1218336;0;92
439;1685827;0;271
440;1181091;1;216
441;1899818;0;173
442;1635814;0;161
443;1891936;0;279
444;1784840;0;226
445;1786969;1;158
446;1207197;0;86
447;1159198;1;228
448;1136886;1;152
449;1720409;1;223
450;1455996;0;214
451;1408580;1;238
452;1714950;0;150
453;1665290;1;144
454;1908301;1;147
455;1051149;1;142
456;1975318;0;249
457;1974773;0;112
458;1014819;0;228
459;1579053;0;258
460;1664344;1;162
461;1865608;1;130
462;1990503;0;186
463;1150278;1;277
464;1981986;0;233
465;1302899;0;180
466;1107228;0;219
467;1001068;0;128
468;1598554;0;170
469;1599701;0;165
470;1367890;0;161
471;1298522;0;116
472;1071153;0;173
473;1183640;1;109
474;1876258;1;226
475;1951109;1;275
476;1781674;1;96
477;1874365;1;270
478;1901803;1;214
479;1501325;0;177
480;1784969;0;282
481;1739496;1;189
482;1367024;1;216
483;1836610;0;118
484;1559967;0;245
485;1578238;1;145
486;1831723;0;123
487;1705509;1;273
488;1798668;1;176
489;1513406;0;95
490;1088233;0;114
491;1917437;1;261
492;1274258;0;202
493;1774554;1;131
494;1636240;1;236
495;1340153;1;163
496;1226899;1;230
497;1037481;0;92
498;1288004;1;266
499;1020633;0;122
500;1087596;0;94
